id;rep_no;name;group;address1;address2;postcode;suburb;state;country;phone;website;lat;lng;type
1;642;AHEAD OF TIME HAIR & BEAUTY SPA;;251 HANNAN STREET;;6430;KALGOORLIE;WA;Australia;08 9021 6627;;-30.748329;121.472519;
2;642;ASTONE FOR HAIR          ;;"SHOP 7, 17 WARWICK GROVE S/C
CNR BEACH & ERINDALE ROADS";;6024;WARWICK         ;WA;Australia;08 9447 4502    ;;-31.840878;115.816742;
3;642;BAZZO & JONES;;7/4 GUAVA WAY;;6210;HALLS HEAD;WA;Australia;;;-32.549149;115.701469;
4;642;BOSSANOVA HAIR STUDIO - MORLEY;BOSSANOVA HAIR STUDIO;"SHOP 1 CENTRO GALLERIA
4 COLLIER ROAD           ";;6062;MORLEY          ;WA;Australia;08 9275 9444    ;;-31.897942;115.900169;
5;642;BOSSANOVA HAIR STUDIO - INNALOO;BOSSANOVA HAIR STUDIO;"SHOP 49 WESTFIELD S/CENTRE
384 SCARBOROUGH BAY ROAD";;6018;INNALOO         ;WA;Australia;08 9446 7858    ;;-31.902111;115.798775;
6;642;BROOKE FIORE HAIR & BEAUTY   ;;61B MINNINUP ROAD        ;;6230;BUNBURY         ;WA;Australia;08 9792 5211    ;;-33.348789;115.633537;
7;642;CAROLE GRAF              ;;"SHOP 6  MEADOWVALE S/CENTR
298 MILL POINT ROAD   ";;6151;SOUTH PERTH     ;WA;Australia;08 9367 6733    ;;-31.976984;115.872597;
8;642;CIRCLES OF SUBIACO       ;;SHOP 2-3, 513 HAY STREET;;6008;SUBIACO         ;WA;Australia;08 9388 3110    ;;-31.947472;115.822998;
9;642;CIRCULAR ONE HAIR & BEAUTY;;SUITE 4, 175 LABOUCHERE ROAD;;6152;COMO;WA;Australia;08 9474 1511;;-31.993366;115.858971;
10;642;CISION HAIR;;SHOP 9, 1292 HAY STREET;;6005;WEST PERTH;WA;Australia;08 9226 1260;;-31.951307;115.839714;
11;642;CONNOLLY HAIR            ;;SHOP 3 CONNOLLY SHOPPING CENTRE ;;6027;CONNOLLY        ;WA;Australia;08 9300 1144    ;;-31.753332;115.749992;
12;642;ELATION FOR HAIR & BODY;;22 QUEEN STREET;;3280;BUSSELTON;WA;Australia;08 9751 2882;;-33.648254;115.34388;
13;642;ELLA HAIR                ;;SHOP 3, 156 OXFORD STREET       ;;6007;LEEDERVILLE     ;WA;Australia;08 9201 2191    ;;-31.936291;115.841537;
14;642;GAFFNEY'S                ;;"SHOP 7 HEATHRIDGE CITY S/CENTRE
99 CARIBEAN STREET       ";;6027;HEATHRIDGE      ;WA;Australia;08 9307 3304    ;;-31.760527;115.763748;
15;642;HAIR OUTAQUIN;;438 FITZGERALD STREET;;6006;NORTH PERTH     ;WA;Australia;08 9228 8211;;-31.931639;115.859291;
16;642;HAIR RELIGION;;"SHOP 66 RIVERTON FORUM S/CENTRE
HIGH ROAD";;6148;RIVERTON;WA;Australia;08 9354 9959;;-32.038673;115.897522;
17;642;HEAD STUDIO - SUCCESS;HEAD STUDIO;"SHOP 20A GATEWAY S/CENTRE
BEELIAR DRIVE            ";;6164;SUCCESS         ;WA;Australia;08 9498 7577    ;;-32.131935;115.858742;
18;642;HEAD STUDIO - PERTH;HEAD STUDIO;64 KING STREET;;6000;PERTH           ;WA;Australia;08 9481 6464;;-31.951326;115.855515;
19;642;HEAD STUDIO - ROCKINGHAM  ;HEAD STUDIO;"SHOP 4 THE BOARDWARK  
7 RAILWAY TCE PALM BEACH ";;6168;ROCKINGHAM      ;WA;Australia;08 9527 6271    ;;-32.275631;115.72953;
20;642;HEMISPHERE FOR HAIR      ;;SHOP 1, 669 BEAUFORT STREET         ;;6050;MOUNT LAWLEY    ;WA;Australia;08 9271 0067    ;;-31.933832;115.872536;
21;642;HOUSE OF ERNEST;;"19 UPPER HAY STREET
CARILLON CITY ARCADE";;6000;PERTH           ;WA;Australia;08 9321 3391;;-31.953703;115.858849;
22;642;JT'S LADIES & MEN'S H/S  WHITFORDS;JT'S;"SHOP 164 WHITFORD CITY S/CENTRE
WHITFORD AVENUE";;6025;WHITFORD;WA;Australia;08 9401 0898    ;;-31.799837;115.745682;
23;642;JT'S LADIES & MEN'S H/S  JOONDALUP;JT'S;LAKESIDE SHOPPING CENTRE ;;6027;JOONDALUP       ;WA;Australia;08 9300 1009;;-31.744858;115.767342;
24;642;JT'S LADIES & MEN'S H/S - ROCKINGHAM;JT'S;SHOP T220 ROCKINGHAM CITY S/CENTRE;;6168;ROCKINGHAM      ;WA;Australia;08 9527 4588;;-32.275761;115.732063;
25;642;JT'S LADIES & MEN'S H/S -  MIDLAND;JT'S;"SHOP 92  MIDLAND GATE S/CENTRE 
GREAT EASTERN HWY        ";;6056;MIDLAND         ;WA;Australia;08 9274 4252    ;;-31.891272;116.009521;
26;642;JT'S LADIES & MEN'S H/S-  MORlLEY;JT'S;"SHOP 118 GALLERIA S/CENTRE  
COLLIER ROAD";;6062;MORLEY          ;WA;Australia;08 9275 9443;;-31.900312;115.903999;
